"X_id","RSN","YEAR_REGISTERED","YEAR_EVALUATED","YEAR_BUILT","PROPERTY_TYPE","WARD","WARDNAME","SITE_ADDRESS","CONFIRMED_STOREYS","CONFIRMED_UNITS","EVALUATION_COMPLETED_ON","SCORE","RESULTS_OF_SCORE","NO_OF_AREAS_EVALUATED","ENTRANCE_LOBBY","ENTRANCE_DOORS_WINDOWS","SECURITY","STAIRWELLS","LAUNDRY_ROOMS","INTERNAL_GUARDS_HANDRAILS","GARBAGE_CHUTE_ROOMS","GARBAGE_BIN_STORAGE_AREA","ELEVATORS","STORAGE_AREAS_LOCKERS","INTERIOR_WALL_CEILING_FLOOR","INTERIOR_LIGHTING_LEVELS","GRAFFITI","EXTERIOR_CLADDING","EXTERIOR_GROUNDS","EXTERIOR_WALKWAYS","BALCONY_GUARDS","WATER_PEN_EXT_BLDG_ELEMENTS","PARKING_AREA","OTHER_FACILITIES","GRID","LATITUDE","LONGITUDE","X","Y"
2969139,4155911,2017,NA,1971,"PRIVATE",1,"Etobicoke North","22 WILLOWRIDGE RD",16,132,"2022-11-25",81,"Evaluation needs to be conducted in 2 years",18,5,4,5,5,4,4,2,4,3,NA,5,5,5,4,4,5,3,3,3,NA,"W0137",43.674963269,-79.5693913161,299189.134,4837003.506
2969140,4154967,2017,NA,1950,"PRIVATE",12,"Toronto-St. Paul's","105 KENWOOD AVE",4,31,"2022-11-24",84,"Evaluation needs to be conducted in 2 years",14,4,4,5,4,5,5,NA,5,NA,NA,3,4,4,3,5,4,NA,4,NA,NA,"S1229",43.685885734,-79.4229628704,310995.199,4838217.402
2969141,4154584,2017,NA,1956,"PRIVATE",6,"York Centre","11 ROSSEAU RD",3,11,"2022-11-24",79,"Evaluation needs to be conducted in 2 years",16,4,4,4,4,3,4,NA,5,NA,3,4,4,5,3,4,4,NA,4,4,NA,"N0629",43.7424088558,-79.4365679178,309893.66,4844495.901
2969142,4155202,2017,NA,1990,"SOCIAL HOUSING",4,"Parkdale-High Park","4049 DUNDAS ST W",12,208,"2022-11-24",81,"Evaluation needs to be conducted in 2 years",19,4,5,5,3,4,4,NA,3,3,5,4,5,5,4,4,4,4,3,3,5,"S0421",43.6634553526,-79.5037202734,304484.24,4835722.738
2969143,4154413,2017,NA,1954,"PRIVATE",6,"York Centre","1 WANDLE AVE",3,12,"2022-11-24",62,"Evaluation needs to be conducted in 1 year",13,3,3,5,3,NA,3,NA,3,NA,NA,1,1,5,4,2,3,NA,4,NA,NA,"N0627",43.7308109846,-79.483724006,306095.721,4843205.654
2969144,4154974,2017,NA,1929,"SOCIAL HOUSING",12,"Toronto-St. Paul's","175 VAUGHAN RD",4,29,"2022-11-24",86,"Evaluation needs to be conducted in 3 years",14,4,4,5,4,5,5,NA,5,NA,NA,4,4,4,4,4,3,NA,5,NA,NA,"S1229",43.6862643144,-79.4217422251,311093.57,4838259.553
2969145,4155126,2017,NA,1957,"PRIVATE",5,"York South-Weston","1306 WESTON RD",3,11,"2022-11-24",89,"Evaluation needs to be conducted in 3 years",13,4,4,5,4,NA,5,NA,5,NA,NA,5,4,5,4,5,3,NA,5,NA,NA,"W0531",43.6894309704,-79.4969533147,305030.032,4838608.475
2969146,4155125,2017,NA,1960,"PRIVATE",5,"York South-Weston","1321 WESTON RD",3,10,"2022-11-24",77,"Evaluation needs to be conducted in 2 years",15,3,5,5,3,3,3,NA,5,NA,NA,3,3,5,3,5,3,NA,5,4,NA,"W0531",43.6898644553,-79.4968078854,305041.755,4838656.633
2969147,4155136,2017,NA,1951,"PRIVATE",5,"York South-Weston","1693 WESTON RD",3,12,"2022-11-24",79,"Evaluation needs to be conducted in 2 years",15,4,2,5,3,4,5,NA,5,NA,NA,3,4,5,5,2,4,NA,5,3,NA,"W0527",43.6974801662,-79.5092622699,304037.854,4839502.786
2969148,4155143,2017,NA,1954,"PRIVATE",5,"York South-Weston","133 WOODWARD AVE",3,11,"2022-11-24",81,"Evaluation needs to be conducted in 2 years",15,4,4,5,5,3,4,NA,3,NA,NA,5,4,5,4,5,3,NA,5,2,NA,"W0525",43.7094490661,-79.5079325701,304145.213,4840832.415
2969149,4155145,NA,NA,1954,"PRIVATE",5,"York South-Weston","137 WOODWARD AVE",3,11,"2022-11-24",76,"Evaluation needs to be conducted in 2 years",15,3,3,5,3,3,3,NA,5,NA,NA,4,5,5,4,4,3,NA,5,2,NA,"W0525",43.7095795164,-79.5073998504,304188.144,4840846.9
2969150,4155186,2017,NA,1958,"PRIVATE",5,"York South-Weston","38 LAMBTON AVE",3,26,"2022-11-24",77,"Evaluation needs to be conducted in 2 years",15,3,5,5,3,4,1,NA,5,NA,NA,5,5,4,3,2,5,NA,3,5,NA,"W0535",43.6838042523,-79.4870901288,305825.229,4837983.417
2969151,4154585,2017,NA,1951,"PRIVATE",6,"York Centre","15 ROSSEAU RD",3,11,"2022-11-24",80,"Evaluation needs to be conducted in 2 years",16,4,4,5,4,4,4,NA,4,NA,3,4,4,4,4,4,4,NA,4,4,NA,"N0629",43.7425559066,-79.436710293,309882.181,4844512.23
2969152,4154586,2017,NA,1953,"PRIVATE",6,"York Centre","17 ROSSEAU RD",3,11,"2022-11-24",63,"Evaluation needs to be conducted in 1 year",16,3,3,4,3,3,3,NA,3,NA,3,3,3,4,3,3,3,NA,3,3,NA,"N0629",43.7427089164,-79.4368688543,309869.398,4844529.22
2969153,4154599,2017,NA,1957,"PRIVATE",6,"York Centre","8 ROSSEAU RD",3,11,"2022-11-24",81,"Evaluation needs to be conducted in 2 years",16,4,4,5,4,4,4,NA,4,NA,3,4,4,5,4,4,4,NA,4,4,NA,"N0629",43.7416546097,-79.4370809747,309852.398,4844412.083
2969154,4154598,2017,NA,1955,"PRIVATE",6,"York Centre","10 ROSSEAU RD",3,11,"2022-11-24",83,"Evaluation needs to be conducted in 2 years",15,5,4,5,4,4,4,NA,4,NA,NA,3,4,5,4,4,4,NA,4,4,NA,"N0629",43.7418342537,-79.4371971572,309843.026,4844432.034
2969155,4154969,2017,NA,1960,"PRIVATE",12,"Toronto-St. Paul's","142 VAUGHAN RD",4,27,"2022-11-24",74,"Evaluation needs to be conducted in 2 years",17,4,3,5,3,3,3,NA,4,NA,5,4,4,5,3,4,2,4,4,3,NA,"S1229",43.6851205,-79.4220842022,311066.115,4838132.443
2969156,4154149,2017,NA,1960,"PRIVATE",15,"Don Valley West","27 THORNCLIFFE PARK DR",7,86,"2022-11-23",92,"Evaluation needs to be conducted in 3 years",19,5,5,5,4,4,5,5,5,5,5,4,5,5,4,5,4,5,4,3,NA,"N1533",43.7027318598,-79.346464172,317159.11,4840097.456
2969157,4154573,2017,NA,1952,"PRIVATE",6,"York Centre","400-406 WILSON AVE",3,33,"2022-11-23",79,"Evaluation needs to be conducted in 2 years",16,4,3,5,4,3,4,NA,4,NA,3,4,4,5,4,4,4,NA,4,4,NA,"N0629",43.736271595,-79.44053564,309548.598,4843809.657
2969158,4152608,2017,NA,1950,"PRIVATE",20,"Scarborough Southwest","650 DAWES RD",3,17,"2022-11-23",84,"Evaluation needs to be conducted in 2 years",17,5,3,5,3,3,3,NA,5,NA,5,3,3,5,4,5,5,5,4,5,NA,"E2028",43.7075426167,-79.2947631998,321324.76,4840640.89
2969159,4269230,2017,NA,1959,"PRIVATE",20,"Scarborough Southwest","508 DANFORTH RD",3,24,"2022-11-23",72,"Evaluation needs to be conducted in 2 years",17,5,3,5,3,2,2,NA,4,5,NA,3,3,5,3,4,5,3,3,3,NA,"E2030",43.7092676432,-79.2670048703,323561.223,4840838.393
2969160,4154176,2017,NA,1960,"PRIVATE",16,"Don Valley East","701 DON MILLS RD",25,333,"2022-11-23",86,"Evaluation needs to be conducted in 3 years",18,4,5,5,3,3,4,3,5,5,NA,3,5,5,5,5,5,5,4,3,NA,"N1630",43.708313291,-79.332845454,318255.235,4840720.639
2969161,4154370,2017,NA,1958,"PRIVATE",6,"York Centre","23 ANTHONY RD",3,12,"2022-11-23",76,"Evaluation needs to be conducted in 2 years",15,4,4,5,4,1,4,NA,4,NA,NA,5,5,3,4,4,3,NA,4,3,NA,"N0632",43.7303067168,-79.4602104154,307990.018,4843150.255
2969162,4156013,2017,NA,1986,"PRIVATE",4,"Parkdale-High Park","255 GLENLAKE AVE",23,336,"2022-11-23",92,"Evaluation needs to be conducted in 3 years",19,5,5,5,4,5,5,4,3,5,3,5,5,5,5,5,4,5,5,4,NA,"S0428",43.6575406896,-79.4645974423,307639.935,4835066.19
2969163,4152961,2017,NA,1960,"PRIVATE",4,"Parkdale-High Park","75 SPENCER AVE",9,71,"2022-11-23",78,"Evaluation needs to be conducted in 2 years",17,4,5,5,3,4,5,NA,4,3,NA,4,4,5,3,5,3,3,3,3,NA,"S0437",43.636789032,-79.429849981,310444.292,4832763.44
2969164,4153170,2017,NA,1920,"PRIVATE",11,"University-Rosedale","711 BLOOR ST W",3,12,"2022-11-23",77,"Evaluation needs to be conducted in 2 years",15,3,4,5,4,3,4,NA,5,NA,NA,4,3,5,3,3,3,5,4,NA,NA,"S1133",43.6634853756,-79.4178022467,311413.725,4835729.236
2969165,4153169,2017,NA,1920,"PRIVATE",11,"University-Rosedale","723 BLOOR ST W",4,16,"2022-11-23",80,"Evaluation needs to be conducted in 2 years",14,3,4,5,3,3,3,NA,5,NA,NA,3,4,4,4,5,5,NA,5,NA,NA,"S1133",43.6633624229,-79.4182682286,311376.156,4835715.537
2969166,4243768,2017,NA,1960,"PRIVATE",19,"Beaches-East York","156 BARRINGTON AVE",3,12,"2022-11-23",67,"Evaluation needs to be conducted in 2 years",14,3,3,4,3,NA,4,NA,3,NA,NA,3,3,5,3,3,3,NA,4,3,NA,"S1930",43.693721495,-79.303248784,320644.242,4839104.731
2969167,4152687,2017,NA,1964,"PRIVATE",20,"Scarborough Southwest","2283 EGLINTON AVE E",9,101,"2022-11-23",96,"Evaluation needs to be conducted in 3 years",18,5,5,5,5,5,5,NA,5,5,5,5,5,5,4,4,4,5,5,4,NA,"E2023",43.7305583723,-79.2723812981,323121.491,4843202.493
2969168,4153496,2017,NA,1926,"PRIVATE",13,"Toronto Centre","77 WELLESLEY ST E",4,30,"2022-11-23",94,"Evaluation needs to be conducted in 3 years",17,5,5,5,5,5,5,4,4,5,5,5,4,4,4,5,5,NA,5,NA,NA,"S1326",43.6655427276,-79.3805307384,314419.363,4835961.416
2969169,4153497,2018,NA,1965,"PRIVATE",13,"Toronto Centre","85 WELLESLEY ST E",8,88,"2022-11-23",96,"Evaluation needs to be conducted in 3 years",16,5,5,5,5,5,5,NA,4,5,NA,5,5,5,4,5,5,NA,5,4,NA,"S1326",43.6656716445,-79.3798985663,314470.327,4835975.809
2969170,4154159,2017,NA,1971,"PRIVATE",15,"Don Valley West","85 THORNCLIFFE PARK DR",43,500,"2022-11-23",95,"Evaluation needs to be conducted in 3 years",19,5,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,5,4,4,NA,"N1533",43.7072324001,-79.3412260815,317580.333,4840598.257
2969171,4154165,2017,NA,1964,"PRIVATE",15,"Don Valley West","44 THORNCLIFFE PARK DR",6,90,"2022-11-23",92,"Evaluation needs to be conducted in 3 years",19,5,5,5,4,4,5,5,4,5,4,4,5,5,4,5,5,5,4,4,NA,"N1533",43.702592381,-79.342924935,317444.14,4840083.458
2969172,4154163,2017,NA,1960,"PRIVATE",15,"Don Valley West","52 THORNCLIFFE PARK DR",6,57,"2022-11-23",90,"Evaluation needs to be conducted in 3 years",18,4,5,5,4,4,4,NA,5,4,5,4,5,5,4,5,5,5,4,4,NA,"N1533",43.7036847553,-79.3419933138,317519.256,4840204.007
2969173,4154154,2017,NA,1968,"PRIVATE",15,"Don Valley West","53 THORNCLIFFE PARK DR",20,279,"2022-11-23",96,"Evaluation needs to be conducted in 3 years",19,5,5,5,4,5,3,5,5,5,5,5,5,5,5,5,5,5,4,5,NA,"N1533",43.702990612,-79.341462578,317561.92,4840127.93
2969174,4154162,2017,NA,1960,"PRIVATE",15,"Don Valley West","54 THORNCLIFFE PARK DR",6,71,"2022-11-23",91,"Evaluation needs to be conducted in 3 years",18,5,5,5,5,4,5,NA,5,4,5,4,5,5,4,5,3,5,3,5,NA,"N1533",43.7040327966,-79.3417955997,317535.117,4840242.704
2969175,4154579,2017,NA,1960,"PRIVATE",6,"York Centre","8 VINCI CRES",4,33,"2022-11-23",79,"Evaluation needs to be conducted in 2 years",17,4,4,5,3,4,3,NA,4,NA,4,3,4,5,4,4,4,4,4,4,NA,"N0629",43.736228569,-79.446122884,309124.24,4843809.751
2969176,4154578,2017,NA,1960,"PRIVATE",6,"York Centre","30 VINCI CRES",4,33,"2022-11-23",81,"Evaluation needs to be conducted in 2 years",17,4,4,5,3,4,4,NA,4,NA,4,3,5,5,4,4,4,4,4,4,NA,"N0629",43.7369856,-79.446046582,309130.334,4843893.855
2969177,4154577,2017,NA,1960,"PRIVATE",6,"York Centre","59 VINCI CRES",4,33,"2022-11-23",76,"Evaluation needs to be conducted in 2 years",17,4,4,5,3,3,3,NA,4,NA,4,3,4,5,3,4,4,4,4,4,NA,"N0629",43.737831754,-79.446511032,309092.864,4843987.832
2969178,4154161,2017,NA,1960,"PRIVATE",15,"Don Valley West","56 THORNCLIFFE PARK DR",6,64,"2022-11-23",92,"Evaluation needs to be conducted in 3 years",18,5,5,5,4,5,5,NA,3,5,5,4,5,5,4,5,5,5,4,4,NA,"N1533",43.704412098,-79.342361798,317489.139,4840285.706
2969179,4154160,2017,NA,1960,"PRIVATE",15,"Don Valley West","58 THORNCLIFFE PARK DR",6,71,"2022-11-23",92,"Evaluation needs to be conducted in 3 years",18,5,5,5,4,5,4,NA,4,5,5,4,5,5,4,5,5,5,4,4,NA,"N1533",43.704388503,-79.343145328,317425.993,4840282.961
2969180,4154155,2017,NA,1967,"PRIVATE",15,"Don Valley West","65 THORNCLIFFE PARK DR",20,332,"2022-11-23",82,"Evaluation needs to be conducted in 2 years",18,4,5,5,3,4,4,3,4,5,NA,3,5,5,4,5,5,3,4,3,NA,"N1533",43.7034875556,-79.3402691534,317658.262,4840182.372
2969181,4154156,2017,NA,1966,"PRIVATE",15,"Don Valley West","71 THORNCLIFFE PARK DR",21,320,"2022-11-23",88,"Evaluation needs to be conducted in 3 years",19,5,5,5,4,5,5,4,3,5,5,4,5,5,5,4,3,5,4,3,NA,"N1533",43.7045421528,-79.3403837567,317648.798,4840299.515
2969182,4168721,2021,NA,1956,"PRIVATE",5,"York South-Weston","870 WESTON RD",3,11,"2022-11-23",73,"Evaluation needs to be conducted in 2 years",16,3,4,4,3,4,1,NA,4,NA,4,3,4,4,4,2,5,NA,4,5,NA,"W0535",43.6831377116,-79.4805570748,306351.965,4837909.457
2969183,4155190,2021,NA,1956,"PRIVATE",5,"York South-Weston","872 WESTON RD",3,12,"2022-11-23",76,"Evaluation needs to be conducted in 2 years",16,4,5,5,3,4,1,NA,4,NA,4,2,4,5,4,2,5,NA,4,5,NA,"W0535",43.6831820527,-79.4807822687,306333.807,4837914.38
2969184,4153168,2017,NA,1930,"PRIVATE",11,"University-Rosedale","496 MONTROSE AVE",3,24,"2022-11-23",76,"Evaluation needs to be conducted in 2 years",14,3,4,5,4,3,3,NA,2,NA,NA,4,4,5,3,4,5,NA,4,NA,NA,"S1132",43.6628515298,-79.4210660752,311150.555,4835658.55
2969185,4415696,2018,NA,1928,"PRIVATE",13,"Toronto Centre","432 JARVIS ST",3,26,"2022-11-23",86,"Evaluation needs to be conducted in 3 years",14,4,5,5,4,3,5,NA,5,NA,NA,3,4,5,4,5,4,NA,4,NA,NA,"S1326",43.6652814395,-79.3783054982,314598.869,4835932.642
2969186,4152994,2017,NA,1959,"PRIVATE",4,"Parkdale-High Park","90 JAMESON AVE",7,61,"2022-11-23",72,"Evaluation needs to be conducted in 2 years",18,4,5,5,3,3,4,NA,3,3,3,4,5,4,3,4,3,3,3,3,NA,"S0437",43.6343822215,-79.4353464505,310001.272,4832494.781
2969187,4155195,2017,NA,1958,"PRIVATE",5,"York South-Weston","15 GRAY AVE",3,17,"2022-11-23",84,"Evaluation needs to be conducted in 2 years",16,4,5,5,5,4,5,4,5,NA,NA,3,3,5,3,3,5,NA,4,4,NA,"W0535",43.6812020963,-79.4931053414,305340.27,4837694.285
2969188,4152988,2017,NA,1955,"PRIVATE",4,"Parkdale-High Park","140 JAMESON AVE",4,23,"2022-11-23",85,"Evaluation needs to be conducted in 2 years",15,4,5,5,3,4,3,NA,5,NA,NA,4,5,5,4,5,4,NA,4,4,NA,"S0437",43.6366770656,-79.4361176047,309938.858,4832749.67
2969189,4152987,2017,NA,1956,"PRIVATE",4,"Parkdale-High Park","146 JAMESON AVE",4,28,"2022-11-23",81,"Evaluation needs to be conducted in 2 years",15,4,5,5,3,4,3,NA,5,NA,NA,4,5,5,3,4,4,NA,3,4,NA,"S0437",43.6369325333,-79.4362160328,309930.895,4832778.044
2969190,4415833,2019,NA,1928,"PRIVATE",13,"Toronto Centre","120 MAITLAND ST",3,24,"2022-11-23",85,"Evaluation needs to be conducted in 2 years",13,4,5,5,3,NA,4,NA,5,NA,NA,4,4,5,4,5,3,NA,4,NA,NA,"S1326",43.6652962765,-79.378621689,314573.366,4835934.254
2969191,4155681,2017,NA,1996,"SOCIAL HOUSING",10,"Spadina-Fort York","900 QUEEN ST W",3,22,"2022-11-23",94,"Evaluation needs to be conducted in 3 years",17,5,5,5,5,5,5,NA,4,3,NA,4,5,5,4,5,5,NA,5,5,5,"S1021",43.6450713717,-79.4156086518,311592.747,4833683.596
2969192,4281384,2017,NA,1937,"PRIVATE",20,"Scarborough Southwest","2404 QUEEN ST E",4,20,"2022-11-23",81,"Evaluation needs to be conducted in 2 years",15,3,3,5,5,NA,3,NA,5,NA,3,3,5,5,3,5,5,NA,3,5,NA,"E2033",43.6746605464,-79.2797118492,322547.395,4836990.9
2969193,4153046,2017,NA,1960,"PRIVATE",4,"Parkdale-High Park","83 INDIAN RD",5,21,"2022-11-23",78,"Evaluation needs to be conducted in 2 years",17,4,5,5,3,3,3,NA,3,3,NA,4,3,5,4,5,4,5,3,4,NA,"S0434",43.6422400128,-79.4533563133,308547.591,4833366.778
2969194,4154575,2017,NA,1960,"PRIVATE",6,"York Centre","45 FAYWOOD BLVD",4,33,"2022-11-23",78,"Evaluation needs to be conducted in 2 years",17,4,4,5,3,3,3,NA,4,NA,3,3,5,5,4,4,4,4,4,4,NA,"N0629",43.736808651,-79.446539403,309090.649,4843874.172
2969195,4154576,2017,NA,1960,"PRIVATE",6,"York Centre","55 FAYWOOD BLVD",4,33,"2022-11-23",79,"Evaluation needs to be conducted in 2 years",17,4,4,5,3,3,3,NA,4,NA,4,3,5,5,4,4,4,4,4,4,NA,"N0629",43.7374755438,-79.4464332774,309099.415,4843947.309
2969196,4154946,2017,NA,1926,"PRIVATE",12,"Toronto-St. Paul's","1574 BATHURST ST",4,36,"2022-11-23",73,"Evaluation needs to be conducted in 2 years",16,5,3,5,4,3,4,NA,4,NA,3,4,3,5,3,2,3,NA,5,2,NA,"S1229",43.6861505709,-79.4199250703,311240.085,4838247.052
2969197,4155828,2018,NA,1944,"PRIVATE",4,"Parkdale-High Park","2561 BLOOR ST W",4,34,"2022-11-23",89,"Evaluation needs to be conducted in 3 years",16,4,5,5,4,4,4,NA,5,NA,NA,5,5,5,4,5,5,4,3,4,NA,"S0425",43.647625728,-79.491336413,305480.451,4833992.441
2969198,4154521,2018,NA,1958,"PRIVATE",8,"Eglinton-Lawrence","3638 BATHURST ST",7,48,"2022-11-23",83,"Evaluation needs to be conducted in 2 years",18,4,5,5,4,4,4,4,4,4,NA,5,4,5,4,4,4,3,4,4,NA,"N0823",43.733380914,-79.43358678,310168.085,4843485.155
2969199,4154169,2017,NA,1960,"PRIVATE",15,"Don Valley West","26 THORNCLIFFE PARK DR",6,62,"2022-11-22",95,"Evaluation needs to be conducted in 3 years",19,4,5,5,4,5,5,4,5,5,5,5,5,5,4,5,5,5,4,5,NA,"N1533",43.7032015325,-79.3458301347,317210.115,4840149.729
2969200,4154630,2017,NA,1970,"PRIVATE",6,"York Centre","5 FISHERVILLE RD",17,202,"2022-11-22",80,"Evaluation needs to be conducted in 2 years",20,4,4,5,4,4,4,4,4,5,4,4,4,5,4,4,4,2,4,3,4,"N0622",43.7893811504,-79.4481218058,308959.834,4849713.707
2969201,4154059,2017,NA,1955,"PRIVATE",19,"Beaches-East York","127 GLENWOOD CRES",3,57,"2022-11-22",71,"Evaluation needs to be conducted in 2 years",16,3,4,4,3,3,4,NA,4,NA,3,4,3,5,3,4,3,NA,4,3,NA,"S1927",43.7025056164,-79.3120345151,319934.109,4840078.057
2969202,4154066,2017,NA,1955,"PRIVATE",19,"Beaches-East York","2892 ST CLAIR AVE E",4,34,"2022-11-22",89,"Evaluation needs to be conducted in 3 years",16,4,3,4,4,5,5,NA,4,NA,NA,5,5,5,5,4,4,5,5,4,NA,"S1924",43.70796583,-79.302427359,320686.3,4840682.162
2969203,4155382,2017,NA,1962,"PRIVATE",2,"Etobicoke Centre","311 THE WEST MALL",7,109,"2022-11-22",64,"Evaluation needs to be conducted in 1 year",17,3,4,5,2,3,4,3,3,3,NA,1,4,4,3,3,3,3,3,NA,NA,"W0233",43.6365103403,-79.562181408,299767.179,4832731.073
2969204,4154168,2017,NA,1959,"PRIVATE",15,"Don Valley West","36 THORNCLIFFE PARK DR",6,70,"2022-11-22",89,"Evaluation needs to be conducted in 3 years",17,3,5,5,5,5,3,NA,5,4,NA,4,5,5,4,5,5,5,4,4,NA,"N1533",43.702708953,-79.344590225,317309.891,4840096.148
2969205,4154151,2017,NA,1965,"PRIVATE",15,"Don Valley West","43 THORNCLIFFE PARK DR",20,380,"2022-11-22",83,"Evaluation needs to be conducted in 2 years",18,5,5,5,3,4,3,3,5,4,NA,4,5,5,5,4,3,5,4,3,NA,"N1533",43.70045036,-79.344507259,317317.056,4839845.249
2969206,4154152,2017,NA,1966,"PRIVATE",15,"Don Valley West","47 THORNCLIFFE PARK DR",25,474,"2022-11-22",82,"Evaluation needs to be conducted in 2 years",18,4,5,5,4,4,3,3,4,5,NA,3,5,5,4,5,4,3,4,4,NA,"N1533",43.700783732,-79.34267244,317464.875,4839882.563
2969207,4154144,2017,NA,1975,"SOCIAL HOUSING",15,"Don Valley West","23 THORNCLIFFE PARK DR",6,77,"2022-11-22",88,"Evaluation needs to be conducted in 3 years",19,4,5,5,4,5,4,4,4,4,5,4,5,5,4,5,4,5,4,4,NA,"N1533",43.7031497325,-79.3474623763,317078.572,4840143.732
2969208,4154507,2017,NA,1950,"PRIVATE",8,"Eglinton-Lawrence","24 WASDALE CRES",3,11,"2022-11-22",79,"Evaluation needs to be conducted in 2 years",16,4,4,4,4,4,4,NA,4,NA,NA,4,4,5,4,4,4,3,3,4,NA,"N0823",43.730975673,-79.4363599981,309911.368,4843225.786
2969209,4154508,2017,NA,1975,"PRIVATE",8,"Eglinton-Lawrence","28 WASDALE CRES",3,11,"2022-11-22",84,"Evaluation needs to be conducted in 2 years",16,4,5,2,3,5,4,NA,5,NA,NA,4,5,5,4,5,4,4,4,4,NA,"N0823",43.7309298534,-79.4365851209,309893.236,4843220.682
2969210,4154511,2017,NA,1965,"PRIVATE",8,"Eglinton-Lawrence","34 WASDALE CRES",3,11,"2022-11-22",80,"Evaluation needs to be conducted in 2 years",16,3,4,5,4,3,4,NA,4,NA,NA,5,4,5,4,4,4,4,3,4,NA,"N0823",43.7307766314,-79.4372931994,309836.206,4843203.617
2969211,4154146,2017,NA,1960,"PRIVATE",15,"Don Valley West","4 MILEPOST PL",6,77,"2022-11-22",89,"Evaluation needs to be conducted in 3 years",18,4,5,5,5,5,4,NA,5,5,4,4,5,5,4,5,4,4,4,3,NA,"N1533",43.7023358316,-79.3484380535,317000.106,4840053.174
2969212,4154170,2017,NA,1958,"PRIVATE",15,"Don Valley West","6 GRANDSTAND PL",6,60,"2022-11-22",98,"Evaluation needs to be conducted in 3 years",17,5,5,5,4,5,5,NA,5,5,NA,4,5,5,5,5,5,5,5,5,NA,"N1533",43.7036201193,-79.3452607415,317255.92,4840196.318
2969213,4154500,2017,NA,1960,"PRIVATE",8,"Eglinton-Lawrence","93 NEPTUNE DR",3,10,"2022-11-22",79,"Evaluation needs to be conducted in 2 years",18,4,4,5,3,4,4,5,4,NA,3,3,4,5,4,4,4,3,4,4,NA,"N0823",43.731679003,-79.438369878,309749.131,4843304.753
2969214,4155740,2017,NA,1967,"PRIVATE",6,"York Centre","4222 BATHURST ST",8,77,"2022-11-22",85,"Evaluation needs to be conducted in 2 years",19,5,4,5,4,5,4,3,4,4,4,4,5,5,4,4,4,5,4,4,NA,"N0629",43.7495949596,-79.4376915029,309802.588,4845294.188
2969215,4156071,2017,NA,1970,"PRIVATE",6,"York Centre","6040 BATHURST ST",17,202,"2022-11-22",81,"Evaluation needs to be conducted in 2 years",20,4,4,5,4,4,4,4,4,5,4,4,5,5,4,4,4,2,4,3,4,"N0622",43.7890444892,-79.4476519388,309058.568,4849670.127
2969216,4154062,2017,NA,1956,"PRIVATE",19,"Beaches-East York","2922 ST CLAIR AVE E",4,16,"2022-11-22",80,"Evaluation needs to be conducted in 2 years",15,4,3,5,4,4,5,NA,4,NA,NA,4,3,5,4,4,3,NA,4,4,NA,"S1924",43.7085088591,-79.2998972117,320910.751,4840747.242
2969217,4152796,2017,NA,1981,"SOCIAL HOUSING",20,"Scarborough Southwest","110 MASON RD",7,53,"2022-11-21",91,"Evaluation needs to be conducted in 3 years",19,5,3,5,5,3,5,5,5,5,5,3,5,5,5,5,3,5,5,4,NA,"E2027",43.7409528435,-79.2252456452,326914.886,4844368.716
2969218,4154464,2017,NA,1962,"PRIVATE",7,"Humber River-Black Creek","3700 KEELE ST",3,57,"2022-11-21",70,"Evaluation needs to be conducted in 2 years",18,3,3,5,3,4,3,NA,4,3,3,4,4,5,3,3,3,2,4,4,NA,"W0731",43.7552410078,-79.4893788755,305639.91,4845919.621
2969219,4154463,2017,NA,1972,"PRIVATE",7,"Humber River-Black Creek","3710 KEELE ST",9,92,"2022-11-21",81,"Evaluation needs to be conducted in 2 years",19,4,4,5,4,4,4,4,4,4,4,5,5,5,4,3,4,3,3,4,NA,"W0731",43.7565404948,-79.489787514,305606.988,4846063.982
2969220,4154525,2017,NA,1952,"PRIVATE",8,"Eglinton-Lawrence","24 HOTSPUR RD",3,10,"2022-11-21",79,"Evaluation needs to be conducted in 2 years",17,4,4,5,4,3,4,NA,4,NA,3,4,4,5,4,4,4,3,4,4,NA,"N0823",43.733057329,-79.435090946,309994.884,4843443.039
2969221,4155206,2017,NA,1958,"PRIVATE",4,"Parkdale-High Park","596 JANE ST",3,17,"2022-11-21",93,"Evaluation needs to be conducted in 3 years",15,4,5,5,4,4,5,NA,5,NA,NA,5,5,5,4,5,5,NA,4,5,NA,"S0421",43.6645208541,-79.4910119688,305509.219,4835841.102
2969222,4155189,2017,NA,1954,"PRIVATE",5,"York South-Weston","5 A JASPER AVE",3,10,"2022-11-21",55,"Evaluation needs to be conducted in 1 year",15,5,2,2,4,2,1,NA,5,NA,NA,3,3,NA,3,2,3,1,3,2,NA,"W0535",43.6833549123,-79.4823636932,306206.297,4837933.562
2969223,4154504,2017,NA,1990,"PRIVATE",8,"Eglinton-Lawrence","49 NEPTUNE DR",3,10,"2022-11-21",78,"Evaluation needs to be conducted in 2 years",17,4,3,4,4,4,4,NA,4,NA,4,4,4,5,4,3,4,3,4,4,NA,"N0823",43.731455829,-79.435410014,309987.593,4843280.144
