"_id","RSN","YEAR_REGISTERED","YEAR_EVALUATED","YEAR_BUILT","PROPERTY_TYPE","WARD","WARDNAME","SITE_ADDRESS","CONFIRMED_STOREYS","CONFIRMED_UNITS","EVALUATION_COMPLETED_ON","SCORE","RESULTS_OF_SCORE","NO_OF_AREAS_EVALUATED","ENTRANCE_LOBBY","ENTRANCE_DOORS_WINDOWS","SECURITY","STAIRWELLS","LAUNDRY_ROOMS","INTERNAL_GUARDS_HANDRAILS","GARBAGE_CHUTE_ROOMS","GARBAGE_BIN_STORAGE_AREA","ELEVATORS","STORAGE_AREAS_LOCKERS","INTERIOR_WALL_CEILING_FLOOR","INTERIOR_LIGHTING_LEVELS","GRAFFITI","EXTERIOR_CLADDING","EXTERIOR_GROUNDS","EXTERIOR_WALKWAYS","BALCONY_GUARDS","WATER_PEN_EXT_BLDG_ELEMENTS","PARKING_AREA","OTHER_FACILITIES","GRID","LATITUDE","LONGITUDE","X","Y"
2807555,"4154133","2019","2020","1958","PRIVATE","14","Toronto-Danforth","15 GAMBLE AVE","3","27","2020-12-10","78","Evaluation needs to be conducted in 2 years","17","5","3","5","5","5","3","N/A","3","N/A","4","4","4","5","3","4","4","3","3","3","N/A","S1421","43.6891811387","-79.3538144471","316569.387","4838590.994"
2807556,"4154136","2017","2020","1964","PRIVATE","14","Toronto-Danforth","20 GAMBLE AVE","12","213","2020-12-10","87","Evaluation needs to be conducted in 3 years","19","5","3","5","5","5","5","5","5","5","3","5","4","4","4","5","3","5","4","3","N/A","S1421","43.6898019641","-79.3535830039","316587.924","4838659.999"
2807557,"4154120","2019","2020","1960","PRIVATE","14","Toronto-Danforth","27 GAMBLE AVE","6","75","2020-12-10","86","Evaluation needs to be conducted in 3 years","19","5","3","4","5","4","5","5","5","4","5","3","3","5","5","4","5","4","5","3","N/A","S1421","43.6892398078","-79.3532188818","316617.388","4838597.595"
2807558,"4154121","2017","2020","1970","PRIVATE","14","Toronto-Danforth","33 GAMBLE AVE","4","28","2020-12-10","80","Evaluation needs to be conducted in 2 years","17","5","3","5","5","5","5","N/A","3","N/A","3","4","5","5","3","4","3","4","3","3","N/A","S1421","43.6894011372","-79.352872034","316645.318","4838615.567"
2807559,"4153403","2017","2020","1966","PRIVATE","10","Spadina-Fort York","50 STEPHANIE ST","24","284","2020-12-10","84","Evaluation needs to be conducted in 2 years","18","5","5","5","4","5","3","4","4","4","N/A","4","4","5","3","5","4","4","4","4","N/A","S1024","43.651457871","-79.39239786","313464.06","4834396.283"
2807560,"4155756",NA,"2020","1927","PRIVATE","12","Toronto-St. Paul's","6 PINEWOOD AVE","3","11","2020-12-09","53","Evaluation needs to be conducted in 1 year","14","3","3","2","2","N/A","3","N/A","3","N/A","N/A","3","3","4","2","3","2","2","2","N/A","N/A","S1229","43.682454983","-79.425041007","310827.715","4837837.046"
2807561,"4154973",NA,"2020","1925","PRIVATE","12","Toronto-St. Paul's","8 PINEWOOD AVE","3","11","2020-12-09","53","Evaluation needs to be conducted in 1 year","14","2","3","3","2","N/A","3","N/A","3","N/A","N/A","2","3","5","2","3","2","2","2","N/A","N/A","S1229","43.682584046","-79.425180892","310816.424","4837851.375"
2807562,"4153918","2017","2020","1918","PRIVATE","12","Toronto-St. Paul's","62 ORIOLE GDNS","3","13","2020-12-09","65","Evaluation needs to be conducted in 1 year","15","3","3","4","3","3","3","N/A","3","N/A","3","3","4","5","3","3","3","N/A","3","N/A","N/A","S1232","43.690570503","-79.400460705","312808.514","4838740.742"
2807563,"4154048","2017","2020","1959","PRIVATE","19","Beaches-East York","612 DAWES RD","6","65","2020-12-09","73","Evaluation needs to be conducted in 2 years","18","4","4","4","3","4","3","4","4","4","N/A","2","4","5","3","4","3","3","4","4","N/A","S1927","43.707368794","-79.295895516","321233.295","4840622.311"
2807564,"4154112","2017","2020","1973","PRIVATE","14","Toronto-Danforth","55 COSBURN AVE","12","155","2020-12-09","85","Evaluation needs to be conducted in 2 years","19","5","3","5","5","4","5","5","3","5","5","4","5","5","3","4","5","4","3","3","N/A","S1421","43.6884922382","-79.3520019211","316715.641","4838514.709"
2807565,"4152921","2017","2020","1975","PRIVATE","04","Parkdale-High Park","494 RUNNYMEDE RD","3","36","2020-12-09","77","Evaluation needs to be conducted in 2 years","15","4","4","5","3","3","4","N/A","4","N/A","N/A","4","3","4","4","5","3","N/A","4","4","N/A","S0426","43.6595761764","-79.4801030062","306389.176","4835291.941"
2807566,"4153154","2017","2020","1940","PRIVATE","09","Davenport","19-21 RUSHOLME RD","3","11","2020-12-09","91","Evaluation needs to be conducted in 3 years","16","5","5","4","4","4","4","N/A","5","N/A","5","5","4","5","4","5","5","N/A","5","4","N/A","S0934","43.650137633","-79.426725646","310695.116","4834246.595"
2807567,"4154961","2017","2020","1960","PRIVATE","12","Toronto-St. Paul's","54 RAGLAN AVE","4","16","2020-12-09","74","Evaluation needs to be conducted in 2 years","14","4","4","5","4","2","4","N/A","4","N/A","N/A","4","4","5","3","3","3","N/A","3","N/A","N/A","S1229","43.6845316725","-79.420531395","311191.367","4838067.141"
2807568,"4153924","2017","2020","1965","PRIVATE","12","Toronto-St. Paul's","95 LAWTON BLVD","7","60","2020-12-09","73","Evaluation needs to be conducted in 2 years","19","3","3","5","3","4","3","3","3","4","4","3","4","5","4","3","4","4","4","3","N/A","S1232","43.693346588","-79.3964596744","313130.915","4839048.604"
2807569,"4153159","2017","2020","1930","PRIVATE","09","Davenport","1044 COLLEGE ST","3","43","2020-12-09","77","Evaluation needs to be conducted in 2 years","15","4","4","4","4","3","4","N/A","3","N/A","N/A","4","4","5","4","4","3","4","4","N/A","N/A","S0934","43.653199472","-79.430277706","310408.275","4834586.517"
2807570,"4154942","2017","2020","1955","PRIVATE","12","Toronto-St. Paul's","3 CLAXTON BLVD","3","19","2020-12-09","77","Evaluation needs to be conducted in 2 years","15","4","4","5","4","3","4","N/A","4","N/A","4","4","4","5","3","4","3","N/A","3","N/A","N/A","S1229","43.6869650941","-79.420416441","311200.387","4838337.511"
2807571,"4154122","2017","2020","1974","PRIVATE","14","Toronto-Danforth","45 GAMBLE AVE","6","49","2020-12-09","82","Evaluation needs to be conducted in 2 years","18","5","3","5","5","5","5","N/A","3","4","5","4","3","5","3","5","3","4","3","4","N/A","S1421","43.689482846","-79.3524948053","316675.712","4838624.697"
2807572,"4155638","2017","2020","1957","TCHC","08","Eglinton-Lawrence","1 FLEMINGTON RD","3","31","2020-12-09","68","Evaluation needs to be conducted in 2 years","15","3","3","5","3","3","3","N/A","3","N/A","N/A","3","3","4","3","4","4","N/A","3","4","N/A","N0823","43.719074422","-79.441290791","309514.797","4841904.254"
2807573,"4155637","2017","2020","1957","TCHC","08","Eglinton-Lawrence","3 FLEMINGTON RD","3","31","2020-12-09","73","Evaluation needs to be conducted in 2 years","15","3","4","4","3","4","3","N/A","4","N/A","N/A","3","4","4","3","4","4","N/A","4","4","N/A","N0823","43.719157062","-79.442145009","309445.958","4841913.386"
2807574,"4155632","2017","2020","1957","TCHC","08","Eglinton-Lawrence","7 FLEMINGTON RD","4","30","2020-12-09","73","Evaluation needs to be conducted in 2 years","15","3","4","3","3","4","4","N/A","4","N/A","N/A","3","4","3","3","4","4","N/A","4","5","N/A","N0823","43.719109071","-79.444361414","309268.912","4841893.814"
2807575,"4155643","2017","2020","1957","TCHC","08","Eglinton-Lawrence","9 FLEMINGTON RD","4","30","2020-12-09","72","Evaluation needs to be conducted in 2 years","15","3","3","4","3","3","3","N/A","4","N/A","N/A","4","3","4","4","4","4","N/A","4","4","N/A","N0823","43.7187381977","-79.4460430714","309132.157","4841865.686"
2807576,"4154059","2017","2020","1955","PRIVATE","19","Beaches-East York","127 GLENWOOD CRES","3","57","2020-12-09","68","Evaluation needs to be conducted in 2 years","15","3","4","2","4","3","4","N/A","4","N/A","N/A","3","3","3","3","3","4","N/A","4","4","N/A","S1927","43.7025056164","-79.3120345151","319934.109","4840078.057"
2807577,"4273205","2017","2020","1911","PRIVATE","13","Toronto Centre","67 GLOUCESTER ST","3","15","2020-12-09","76","Evaluation needs to be conducted in 2 years","14","3","3","5","4","4","4","N/A","4","N/A","N/A","3","4","5","3","4","4","N/A","3","N/A","N/A","S1322","43.6670615144","-79.3820888651","314293.461","4836129.969"
2807578,"4155642","2017","2020","1957","TCHC","08","Eglinton-Lawrence","11 FLEMINGTON RD","4","31","2020-12-09","73","Evaluation needs to be conducted in 2 years","15","3","3","5","3","3","3","N/A","4","N/A","N/A","4","3","4","4","4","4","N/A","4","4","N/A","N0823","43.718500015","-79.447329934","309019.977","4841871.044"
2807579,"4154279","2017","2020","1959","PRIVATE","05","York South-Weston","2050 KEELE ST","9","187","2020-12-09","83","Evaluation needs to be conducted in 2 years","19","5","4","5","4","4","4","4","4","4","4","4","4","5","4","5","4","4","4","3","N/A","W0529","43.6979738679","-79.4763948236","306687.153","4839557.752"
2807580,"4154974","2017","2020","1929","SOCIAL HOUSING","12","Toronto-St. Paul's","175 VAUGHAN RD","4","29","2020-12-09","77","Evaluation needs to be conducted in 2 years","14","3","4","5","3","3","4","N/A","4","N/A","N/A","4","5","4","3","4","4","N/A","4","N/A","N/A","S1229","43.6862643144","-79.4217422251","311093.57","4838259.553"
2807581,"4153158","2017","2020","1905","PRIVATE","09","Davenport","1 HAVELOCK ST","3","18","2020-12-09","80","Evaluation needs to be conducted in 2 years","15","4","4","4","4","4","4","N/A","4","N/A","N/A","3","4","5","4","4","4","4","4","N/A","N/A","S0934","43.6531913676","-79.429272022","310489.665","4834584.737"
2807582,"4154116","2017","2020","1968","PRIVATE","14","Toronto-Danforth","130 GOWAN AVE","12","160","2020-12-09","80","Evaluation needs to be conducted in 2 years","19","5","3","3","5","5","5","3","3","5","5","3","5","4","4","3","3","5","4","3","N/A","S1421","43.6884286813","-79.3499828306","316878.417","4838507.925"
2807583,"4154575","2017","2020","1960","PRIVATE","06","York Centre","45 FAYWOOD BLVD","4","33","2020-12-09","81","Evaluation needs to be conducted in 2 years","17","4","4","5","3","3","4","N/A","5","N/A","4","4","4","5","4","4","4","4","4","4","N/A","N0629","43.736808651","-79.446539403","309090.649","4843874.172"
2807584,"4154576","2017","2020","1960","PRIVATE","06","York Centre","55 FAYWOOD BLVD","4","33","2020-12-09","76","Evaluation needs to be conducted in 2 years","17","4","4","5","2","3","4","N/A","5","N/A","4","3","3","5","4","4","3","4","4","4","N/A","N0629","43.7374755438","-79.4464332774","309099.415","4843947.309"
2807585,"4154891","2017","2020","1958","PRIVATE","16","Don Valley East","2 SWIFT DR","4","61","2020-12-09","96","Evaluation needs to be conducted in 3 years","18","4","5","5","5","5","5","N/A","5","5","5","5","5","5","4","5","5","4","4","5","N/A","N1628","43.7265495174","-79.3191883621","319351.711","4842747.946"
2807586,"4153145","2017","2020","1932","PRIVATE","09","Davenport","10 BEACONSFIELD AVE","4","11","2020-12-09","81","Evaluation needs to be conducted in 2 years","14","4","4","4","4","4","4","N/A","4","N/A","N/A","4","4","5","4","4","4","N/A","4","N/A","N/A","S0937","43.643432753","-79.4253164727","310809.709","4833500.853"
2807587,"4155382","2017","2020","1962","PRIVATE","02","Etobicoke Centre","311 THE WEST MALL","7","109","2020-12-09","70","Evaluation needs to be conducted in 2 years","18","4","3","5","4","4","4","3","4","4","N/A","2","4","5","2","4","3","2","3","3","N/A","W0233","43.6365103403","-79.562181408","299767.179","4832731.073"
2807588,"4152950","2017","2020","1962","PRIVATE","04","Parkdale-High Park","1 SPRINGHURST AVE","5","41","2020-12-09","82","Evaluation needs to be conducted in 2 years","17","4","5","5","4","4","3","N/A","4","5","4","4","4","5","4","4","4","N/A","4","3","N/A","S0437","43.6346126017","-79.4260955967","310747.684","4832520.944"
2807589,"4152959","2017","2020","1939","PRIVATE","04","Parkdale-High Park","57 SPENCER AVE","3","19","2020-12-09","80","Evaluation needs to be conducted in 2 years","16","4","4","5","4","4","3","N/A","4","N/A","4","4","4","5","4","4","4","N/A","4","3","N/A","S0437","43.636137103","-79.429522246","310470.794","4832691.036"
2807590,"4152960","2017","2020","1939","PRIVATE","04","Parkdale-High Park","59 SPENCER AVE","3","19","2020-12-09","75","Evaluation needs to be conducted in 2 years","16","3","4","5","4","4","3","N/A","3","N/A","4","4","4","4","3","4","4","N/A","4","3","N/A","S0437","43.636297355","-79.429583628","310465.827","4832708.835"
2807591,"4155389","2017","2020","1970","PRIVATE","02","Etobicoke Centre","361 THE WEST MALL","16","141","2020-12-09","75","Evaluation needs to be conducted in 2 years","19","4","4","5","4","4","4","3","4","4","2","3","4","5","3","4","4","3","3","4","N/A","W0233","43.64088681","-79.564713058","299564.642","4833089.72"
2807592,"4153885","2017","2020","1955","PRIVATE","12","Toronto-St. Paul's","567 AVENUE RD","11","63","2020-12-09","80","Evaluation needs to be conducted in 2 years","18","4","4","4","4","4","4","N/A","4","4","4","4","3","5","4","4","4","4","4","4","N/A","S1232","43.688402926","-79.401606294","312716.449","4838499.822"
2807593,"4154686","2017","2020","1960","PRIVATE","06","York Centre","3905 BATHURST ST","5","50","2020-12-09","77","Evaluation needs to be conducted in 2 years","19","5","4","5","4","4","4","3","3","4","3","4","3","5","4","3","4","5","3","3","N/A","N0630","43.7432072766","-79.4350944029","310012.274","4844584.687"
2807594,"4156362","2017","2020","1950","PRIVATE","12","Toronto-St. Paul's","1582 BATHURST ST","3","33","2020-12-09","74","Evaluation needs to be conducted in 2 years","14","3","4","5","3","3","4","N/A","4","N/A","N/A","3","5","5","3","4","3","N/A","3","N/A","N/A","S1229","43.6866154943","-79.4200162678","311232.685","4838298.699"
2807595,"4154838","2019","2020","1958","PRIVATE","17","Don Valley North","688 SHEPPARD AVE E","4","35","2020-12-09","76","Evaluation needs to be conducted in 2 years","16","4","4","4","4","4","4","N/A","4","N/A","3","4","3","5","4","3","4","N/A","4","3","N/A","N1725","43.769190713","-79.379327637","314499.417","4847477.313"
2807596,"4154107","2017","2020","1973","PRIVATE","14","Toronto-Danforth","1111 BROADVIEW AVE","4","41","2020-12-09","88","Evaluation needs to be conducted in 3 years","17","5","3","5","5","5","5","N/A","5","N/A","3","5","3","5","4","4","5","5","4","4","N/A","S1421","43.6865969215","-79.3555102879","316433.186","4838303.661"
2807597,"4154137",NA,"2020","1955","PRIVATE","14","Toronto-Danforth","1243 BROADVIEW AVE","4","38","2020-12-09","80","Evaluation needs to be conducted in 2 years","16","5","3","5","5","3","5","N/A","5","N/A","3","3","3","5","3","5","4","N/A","3","4","N/A","S1421","43.6907938758","-79.3550051135","316473.095","4838770.007"
2807598,"4154579","2017","2020","1960","PRIVATE","06","York Centre","8 VINCI CRES","4","33","2020-12-09","79","Evaluation needs to be conducted in 2 years","17","4","4","5","3","3","4","N/A","5","N/A","3","3","4","5","4","4","4","4","4","4","N/A","N0629","43.736228569","-79.446122884","309124.24","4843809.751"
2807599,"4154577","2017","2020","1960","PRIVATE","06","York Centre","59 VINCI CRES","4","33","2020-12-09","78","Evaluation needs to be conducted in 2 years","17","4","4","5","3","3","4","N/A","5","N/A","3","3","4","5","4","4","3","4","4","4","N/A","N0629","43.737831754","-79.446511032","309092.864","4843987.832"
2807600,"4153798","2017","2020","1928","PRIVATE","12","Toronto-St. Paul's","63 ROEHAMPTON AVE","4","56","2020-12-08","84","Evaluation needs to be conducted in 2 years","14","4","4","5","4","4","4","N/A","3","N/A","N/A","4","5","5","4","4","5","N/A","4","N/A","N/A","S1221","43.708035598","-79.396523762","313123.458","4840681.507"
2807601,"4156373","2017","2020","1963","TCHC","02","Etobicoke Centre","58 WATERTON RD","6","47","2020-12-08","71","Evaluation needs to be conducted in 2 years","18","3","3","3","4","4","3","4","4","4","N/A","3","4","5","4","3","3","4","4","2","N/A","W0224","43.693937882","-79.516889548","303416.737","4839111.034"
2807602,"4155630","2017","2020","1957","TCHC","08","Eglinton-Lawrence","4 REPLIN RD","4","30","2020-12-08","63","Evaluation needs to be conducted in 1 year","15","3","3","5","2","2","4","N/A","4","N/A","N/A","3","2","3","3","3","3","N/A","4","3","N/A","N0823","43.717910324","-79.443368577","309354.813","4841773.51"
2807603,"4153789","2017","2020","1958","PRIVATE","15","Don Valley West","75 PETMAN AVE","3","26","2020-12-08","84","Evaluation needs to be conducted in 2 years","16","5","3","5","5","5","5","N/A","3","N/A","3","4","4","5","4","3","5","N/A","5","3","N/A","N1530","43.708920433","-79.384300946","314108.39","4840781.103"
2807604,"4290884","2018","2020","1960","PRIVATE","06","York Centre","5 ROSSEAU RD","3","11","2020-12-08","75","Evaluation needs to be conducted in 2 years","16","4","4","5","4","3","4","N/A","4","N/A","3","3","3","5","4","4","4","N/A","3","3","N/A","N0629","43.7418042011","-79.4363369566","309912.311","4844428.739"
2807605,"4154583","2017","2020","1955","PRIVATE","06","York Centre","9 ROSSEAU RD","3","11","2020-12-08","78","Evaluation needs to be conducted in 2 years","16","4","4","5","4","3","4","N/A","4","N/A","4","3","3","5","4","4","4","N/A","3","4","N/A","N0629","43.7421552614","-79.4365679609","309893.677","4844467.728"
2807606,"4154041","2017","2020","1960","PRIVATE","19","Beaches-East York","510 DAWES RD","4","62","2020-12-08","69","Evaluation needs to be conducted in 2 years","17","4","3","4","3","4","4","N/A","3","3","N/A","3","3","3","3","4","4","4","4","3","N/A","S1927","43.704347801","-79.297293072","321121.48","4840286.411"
2807607,"4154040","2017","2020","1950","PRIVATE","19","Beaches-East York","514 DAWES RD","4","34","2020-12-08","63","Evaluation needs to be conducted in 1 year","15","3","4","4","3","3","3","N/A","1","N/A","N/A","2","3","5","3","3","3","N/A","4","3","N/A","S1927","43.7046434956","-79.2969607849","321148.442","4840318.372"
2807608,"4154039","2017","2020","1953","PRIVATE","19","Beaches-East York","516 DAWES RD","4","46","2020-12-08","69","Evaluation needs to be conducted in 2 years","16","3","3","4","3","3","4","N/A","3","N/A","N/A","3","4","3","4","3","4","4","4","3","N/A","S1927","43.7048505726","-79.2968176488","321159.922","4840341.406"
2807609,"4153035","2017","2020","1910","SOCIAL HOUSING","04","Parkdale-High Park","1387 QUEEN ST W","4","23","2020-12-08","73","Evaluation needs to be conducted in 2 years","14","4","4","5","3","4","3","N/A","3","N/A","N/A","3","4","4","4","3","3","N/A","4","N/A","N/A","S0436","43.640425518","-79.436224414","309929.667","4833167.036"
2807610,"4153067","2017","2020","1967","PRIVATE","04","Parkdale-High Park","59 RONCESVALLES AVE","4","38","2020-12-08","73","Evaluation needs to be conducted in 2 years","14","3","4","5","3","3","4","N/A","4","N/A","N/A","3","4","3","3","4","4","N/A","4","N/A","N/A","S0435","43.6407196162","-79.4465973956","309092.998","4833198.193"
2807611,"4152912","2017","2020","1927","PRIVATE","04","Parkdale-High Park","117 RUNNYMEDE RD","4","42","2020-12-08","79","Evaluation needs to be conducted in 2 years","14","4","4","5","4","4","3","N/A","3","N/A","N/A","4","4","5","3","4","4","N/A","4","N/A","N/A","S0430","43.6507245776","-79.4756999777","306744.649","4834308.671"
2807612,"4155634","2017","2020","1957","TCHC","08","Eglinton-Lawrence","1 OLD MEADOW LANE","4","30","2020-12-08","68","Evaluation needs to be conducted in 2 years","15","3","4","4","2","3","3","N/A","3","N/A","N/A","3","4","5","4","3","3","N/A","4","3","N/A","N0823","43.717314184","-79.443949262","309300.705","4841708.546"
2807613,"4153912","2017","2020","1920","PRIVATE","12","Toronto-St. Paul's","8 MALLORY GDNS","4","36","2020-12-08","73","Evaluation needs to be conducted in 2 years","16","4","3","5","3","3","3","N/A","3","N/A","3","4","4","5","3","4","4","N/A","4","3","N/A","S1232","43.690519401","-79.396663132","313114.642","4838735.424"
2807614,"4155891","2017","2020","1958","PRIVATE","08","Eglinton-Lawrence","775 LAWRENCE AVE W","3","10","2020-12-08","78","Evaluation needs to be conducted in 2 years","16","3","3","4","4","4","4","N/A","4","N/A","N/A","4","3","5","4","4","4","4","4","4","N/A","N0827","43.713898627","-79.453259766","308550.681","4841328.638"
2807615,"4153914","2017","2020","1920","PRIVATE","12","Toronto-St. Paul's","1 MALLORY GDNS","4","35","2020-12-08","78","Evaluation needs to be conducted in 2 years","16","4","3","5","4","4","4","N/A","4","N/A","3","4","4","5","3","4","4","N/A","4","3","N/A","S1232","43.691003539","-79.395988686","313168.941","4838789.278"
2807616,"4154676","2018","2020","1940","PRIVATE","08","Eglinton-Lawrence","284 LAWRENCE AVE W","3","15","2020-12-08","65","Evaluation needs to be conducted in 1 year","17","4","4","4","2","4","4","N/A","3","N/A","3","2","3","5","2","2","3","3","4","3","N/A","N0824","43.722781904","-79.4147683838","311651.724","4842317.086"
2807617,"4155615","2017","2020","1977","TCHC","12","Toronto-St. Paul's","70 DUNFIELD AVE","16","156","2020-12-08","78","Evaluation needs to be conducted in 2 years","18","4","4","5","3","4","4","4","4","4","N/A","4","4","4","3","4","4","4","4","3","N/A","S1228","43.706491429","-79.395574467","313200.179","4840510.049"
2807618,"4155872","2017","2020","1910","PRIVATE","13","Toronto Centre","592 CHURCH ST","3","12","2020-12-08","72","Evaluation needs to be conducted in 2 years","13","4","3","5","3","N/A","3","N/A","4","N/A","N/A","3","3","5","3","4","4","N/A","3","N/A","N/A","S1322","43.667031521","-79.3817873","314317.525","4836127.624"
2807619,"4153950","2017","2020","1960","PRIVATE","08","Eglinton-Lawrence","570 EGLINTON AVE W","3","11","2020-12-08","68","Evaluation needs to be conducted in 2 years","17","3","3","3","4","3","3","N/A","4","4","3","3","4","5","3","3","3","4","3","N/A","N/A","N0833","43.7031059337","-79.4169030631","311481.91","4840131.013"
2807620,"4153793","2017","2020","1965","PRIVATE","15","Don Valley West","485 EGLINTON AVE E","12","108","2020-12-08","86","Evaluation needs to be conducted in 3 years","19","5","3","5","5","5","5","5","5","5","5","3","5","5","3","5","4","3","3","3","N/A","N1530","43.7099398028","-79.3813648785","314345.087","4840893.716"
2807621,"4156736","2017","2020","1951","PRIVATE","03","Etobicoke-Lakeshore","135 EIGHTH ST","4","47","2020-12-08","81","Evaluation needs to be conducted in 2 years","15","4","4","5","4","4","3","N/A","4","N/A","N/A","4","4","5","4","4","4","N/A","4","4","N/A","W0335","43.601151061","-79.506439811","304264.189","4828802.019"
2807622,"4254270","2017","2020","1960","PRIVATE","03","Etobicoke-Lakeshore","139 EIGHTH ST","3","47","2020-12-08","83","Evaluation needs to be conducted in 2 years","15","4","4","5","4","4","4","N/A","4","N/A","N/A","4","4","5","4","4","4","N/A","4","4","N/A","W0335","43.601494318","-79.506580956","304252.796","4828840.154"
2807623,"4254274","2017","2020","1960","PRIVATE","03","Etobicoke-Lakeshore","143 EIGHTH ST","4","47","2020-12-08","81","Evaluation needs to be conducted in 2 years","15","4","4","5","4","4","3","N/A","4","N/A","N/A","4","4","5","4","4","4","N/A","4","4","N/A","W0335","43.601842503","-79.506732984","304240.524","4828878.837"
2807624,"4254276","2017","2020","1960","PRIVATE","03","Etobicoke-Lakeshore","147 EIGHTH ST","4","52","2020-12-08","81","Evaluation needs to be conducted in 2 years","15","4","4","5","4","4","3","N/A","4","N/A","N/A","4","4","5","4","4","4","N/A","4","4","N/A","W0335","43.602248316","-79.506894937","304227.452","4828923.922"
2807625,"4153812","2017","2020","1963","PRIVATE","15","Don Valley West","420 EGLINTON AVE E","5","44","2020-12-08","79","Evaluation needs to be conducted in 2 years","19","5","3","5","3","3","4","4","3","4","5","3","4","5","4","3","3","5","4","5","N/A","N1537","43.709789927","-79.385265298","314030.547","4840877.597"
2807626,"4153791","2017","2020","1965","PRIVATE","15","Don Valley West","435 EGLINTON AVE E","12","52","2020-12-08","86","Evaluation needs to be conducted in 3 years","19","5","3","3","4","3","5","5","5","5","5","4","5","5","5","4","3","5","5","3","N/A","N1530","43.709548032","-79.3831759737","314199.208","4840849.994"
2807627,"4171348",NA,"2020","1937","PRIVATE","08","Eglinton-Lawrence","3488 YONGE ST","3","22","2020-12-08","67","Evaluation needs to be conducted in 2 years","15","3","3","4","3","3","4","N/A","4","N/A","N/A","3","3","5","3","3","3","N/A","3","3","N/A","N0825","43.735134254","-79.405173359","312422.962","4843691.145"
2807628,"4153787","2017","2020","1955","PRIVATE","15","Don Valley West","341 FORMAN AVE","4","15","2020-12-08","85","Evaluation needs to be conducted in 2 years","16","5","3","5","5","4","5","N/A","4","N/A","5","4","4","5","4","3","4","N/A","4","4","N/A","N1530","43.7088608349","-79.38577257","313990.069","4840773.368"
2807629,"4155313",NA,"2020","1952","PRIVATE","02","Etobicoke Centre","315 THE KINGSWAY","4","15","2020-12-08","73","Evaluation needs to be conducted in 2 years","15","4","4","5","4","4","2","N/A","3","N/A","N/A","4","3","5","4","4","3","N/A","4","2","N/A","W0229","43.6650849124","-79.5230752118","302923.345","4835904.087"
2807630,"4153018","2017","2020","1960","PRIVATE","04","Parkdale-High Park","170 JAMESON AVE","11","86","2020-12-08","78","Evaluation needs to be conducted in 2 years","18","4","4","5","4","4","4","N/A","3","4","4","4","4","4","4","4","3","4","4","3","N/A","S0436","43.6382736068","-79.4368190607","309882.13","4832926.99"
2807631,"4155064","2017","2020","1960","PRIVATE","09","Davenport","3 THORNTON AVE","3","17","2020-12-08","81","Evaluation needs to be conducted in 2 years","15","4","4","5","4","4","4","N/A","4","N/A","N/A","4","3","5","5","4","4","N/A","4","3","N/A","S0922","43.6929377292","-79.454744586","308432.533","4838998.971"
2807632,"4156737","2017","2020","1951","PRIVATE","03","Etobicoke-Lakeshore","148 ISLINGTON AVE","4","38","2020-12-08","79","Evaluation needs to be conducted in 2 years","15","4","4","5","3","4","3","N/A","4","N/A","N/A","4","4","5","4","4","3","N/A","4","4","N/A","W0335","43.601468456","-79.505848789","304311.906","4828837.276"
2807633,"4156738","2017","2020","1951","PRIVATE","03","Etobicoke-Lakeshore","170 ISLINGTON AVE","4","47","2020-12-08","78","Evaluation needs to be conducted in 2 years","16","4","3","5","3","4","3","N/A","4","N/A","3","4","4","5","4","4","4","N/A","4","4","N/A","W0335","43.602358477","-79.506187032","304284.602","4828936.156"
2807634,"4169166","2017","2020","1960","SOCIAL HOUSING","08","Eglinton-Lawrence","1674 EGLINTON AVE W","4","40","2020-12-08","78","Evaluation needs to be conducted in 2 years","16","4","4","5","3","3","4","N/A","4","3","N/A","4","4","5","4","4","4","N/A","4","3","N/A","N0831","43.6970039967","-79.4454317501","309182.971","4839451.174"
2807635,"4155039","2017","2020","1960","PRIVATE","12","Toronto-St. Paul's","1675 EGLINTON AVE W","3","37","2020-12-08","78","Evaluation needs to be conducted in 2 years","16","4","4","5","3","4","4","N/A","3","N/A","4","3","4","5","3","4","4","N/A","4","4","N/A","S1222","43.6962776134","-79.4460738363","309131.262","4839370.443"
2807636,"4153964","2017","2020","1941","TCHC","08","Eglinton-Lawrence","840 EGLINTON AVE W","4","40","2020-12-08","67","Evaluation needs to be conducted in 2 years","18","3","3","4","3","4","4","3","3","3","N/A","3","4","5","3","3","3","3","3","3","N/A","N0832","43.7014864975","-79.4251602874","310816.559","4839950.457"
2807637,"4155391","2017","2020","1965","PRIVATE","02","Etobicoke Centre","336 THE WEST MALL","3","10","2020-12-08","78","Evaluation needs to be conducted in 2 years","17","4","4","4","4","4","3","N/A","4","N/A","4","4","3","5","4","4","4","4","4","3","N/A","W0233","43.6378421454","-79.5644587873","299583.542","4832879.17"
2807638,"4154659","2017","2020","1955","PRIVATE","08","Eglinton-Lawrence","3255 BATHURST ST","4","22","2020-12-08","81","Evaluation needs to be conducted in 2 years","17","4","4","4","4","4","4","N/A","4","N/A","4","4","4","5","4","4","4","4","4","4","N/A","N0824","43.7239351487","-79.4303884781","310393.099","4842444.013"
